Unnamed: 0,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
245,Dicabisagan,17.0818,122.4157,80.67,86,70,7.14,PH,2021-06-16 22:15:45
246,Matiri,-10.75,34.9,51.66,68,1,3.2,TZ,2021-06-16 22:15:46
247,Japaratuba,-10.5933,-36.9403,76.28,86,3,5.68,BR,2021-06-16 22:15:46
248,Porto-Novo,6.4965,2.6036,82.22,76,72,10.67,BJ,2021-06-16 22:15:47
249,Mar del Plata,-38.0023,-57.5575,45.59,68,90,3.0,AR,2021-06-16 22:15:28
250,Gelemso,8.8167,40.5167,63.52,66,100,5.77,ET,2021-06-16 22:15:47
251,Reconquista,-29.15,-59.65,52.23,59,100,9.15,AR,2021-06-16 22:15:48
252,Buala,-8.145,159.5921,82.71,72,21,5.08,SB,2021-06-16 22:15:48
253,Shelburne,44.0787,-80.2041,62.29,35,88,12.37,CA,2021-06-16 22:15:48
254,Luena,-11.7833,19.9167,52.43,41,2,3.49,AO,2021-06-16 22:15:49
255,Lagdo,9.05,13.7333,77.09,71,33,4.72,CM,2021-06-16 22:15:49
256,Hobart,-42.8794,147.3294,50.16,95,75,1.99,AU,2021-06-16 22:15:25
257,Clarence Town,-32.5833,151.7833,52.77,76,1,11.81,AU,2021-06-16 22:15:50
258,Cidreira,-30.1811,-50.2056,55.0,67,95,8.93,BR,2021-06-16 22:15:50
259,Coahuayana Viejo,18.7333,-103.6833,94.48,66,94,7.58,MX,2021-06-16 22:15:51
260,Paso de Carrasco,-34.8603,-56.0522,48.34,71,75,10.36,UY,2021-06-16 22:15:51
261,Esim,4.8699,-2.2405,76.62,89,100,10.33,GH,2021-06-16 22:15:52
262,Ontario,34.0633,-117.6509,92.59,37,75,8.01,US,2021-06-16 22:15:05
263,Seremban,2.7297,101.9381,76.5,91,57,2.06,MY,2021-06-16 22:15:52
264,Riyadh,24.6877,46.7219,89.65,11,0,4.61,SA,2021-06-16 22:11:58
265,George,-33.963,22.4617,53.15,94,0,4.61,ZA,2021-06-16 22:15:53
266,Ha Giang,22.8333,104.9833,79.77,93,72,1.83,VN,2021-06-16 22:15:54
267,Funtua,11.5233,7.3081,73.33,65,100,9.53,NG,2021-06-16 22:15:54
268,Jaisalmer,26.9147,70.9181,85.03,67,79,13.22,IN,2021-06-16 22:15:54
269,Nacala,-14.5428,40.6728,69.8,85,21,6.13,MZ,2021-06-16 22:15:55
271,Motomachi,43.8228,144.1044,62.38,84,17,2.51,JP,2021-06-16 22:15:56
272,Dayong,25.0209,118.2898,83.88,92,8,1.28,CN,2021-06-16 22:15:56
273,Zhengjiatun,43.5064,123.5064,64.04,93,100,16.37,CN,2021-06-16 22:15:56
274,Beyneu,45.3167,55.2,84.16,20,0,12.19,KZ,2021-06-16 22:15:57
275,Forbes,-33.3833,148.0167,40.78,90,23,6.58,AU,2021-06-16 22:15:57
276,Gushikawa,26.3544,127.8686,81.48,91,40,10.36,JP,2021-06-16 22:15:58
277,Mananjary,-21.2167,48.3333,68.36,73,94,2.66,MG,2021-06-16 22:15:58
278,Kimberley,-28.7323,24.7623,51.49,46,100,5.75,ZA,2021-06-16 22:15:58
